file,storage consumption
1297,391017267
1298,391021913
1299,391096081
1300,391100748
1301,391192464
1302,391233984
1303,391239006
1304,391253107
1305,391599415
1306,391602721
1307,392012616
1308,392016399
1309,392018908
1310,392032064
1311,393199395
1312,393238022
1313,393241479
1314,393243751
1315,393580174
1316,395102222
1317,395105511
1318,395441781
1319,395883593
1320,395887416
1321,395894041
1322,396070122
1323,396088968
1324,396098558
1325,396143135
1326,396187848
1327,396191979
1328,396192849
1329,396366376
1330,396380163
1331,396721069
1332,396721179
1333,396763618
1334,397163616
1335,397244975
1336,397414540
1337,397772602
1338,398897185
1339,400306805
1340,401481853
1341,401912848
1342,401948243
1343,401961575
1344,401976393
1345,402017306
1346,402021952
1347,402138779
1348,402488591
1349,402622397
1350,402628089
1351,403993512
1352,404000111
1353,405392277
1354,405673912
1355,405755786
1356,405770031
1357,407568403
1358,407945662
1359,409505908
1360,409838167
1361,410204009
1362,411703737
1363,411706919
1364,411713607
1365,411959982
1366,411963870
1367,411966438
1368,411970368
1369,411975056
1370,411981936
1371,411991217
1372,412329539
1373,412335044
1374,412336006
1375,412453427
1376,412577831
1377,412911982
1378,412917684
1379,412956210
1380,413287175
1381,413675166
1382,413678742
1383,413715790
1384,414829188
1385,414833680
1386,415172736
1387,415176445
1388,415180241
1389,415185587
1390,415192902
1391,415237118
1392,415238253
1393,415239337
1394,415245350
1395,415344215
1396,415348328
1397,415362201
1398,415366594
1399,415505508
1400,415519894
1401,417021403
1402,418558436
1403,420066310
1404,420077657
1405,420412006
1406,420749497
1407,420786685
1408,422329644
1409,422733787
1410,422778609
1411,424170877
1412,424175523
1413,424220520
1414,425980149
1415,427513419
1416,427517402
1417,427577666
1418,428090851
1419,429622769
1420,429628777
1421,429632202
1422,430004400
1423,430472854
1424,430487039
1425,430493702
1426,430532741
1427,430917958
1428,432484079
1429,432500658
1430,432866862
1431,434241533
1432,434245052
1433,434248965
1434,434706266
1435,434779151
1436,435179083
1437,435221095
1438,435276981
1439,435278483
1440,435281689
1441,435286339
1442,435290560
1443,435291564
1444,435814618
1445,436182830
1446,436203776
1447,436539778
1448,438059382
1449,438099527
1450,438106071
1451,438278338
1452,438725801
1453,438725911
1454,440056573
1455,441586320
1456,442111784
1457,442112951
1458,442118532
1459,442453666
1460,442456781
1461,442515461
1462,442515571
1463,442519792
1464,442526522
1465,442529492
1466,442534182
1467,442545095
1468,442555458
1469,442560799
1470,442566430
1471,442901137
1472,442930007
1473,442932169
1474,442935422
1475,442977445
1476,443050658
1477,443057309
1478,444880981
1479,446298724
1480,446305206
1481,446343878
1482,446719906
1483,446734091
1484,446744340
1485,446748819
1486,447870501
1487,447924050
1488,447983790
1489,447986707
1490,448363787
1491,448368433
1492,448369643
1493,448376694
1494,448755170
1495,448757395
1496,448804253
1497,448807713
1498,448817763
1499,449214715
1500,449229767
1501,450367145
1502,450374532
1503,450432867
1504,450447242
1505,450451155
1506,450457168
1507,450471041
1508,450566237
1509,450571929
1510,450572863
1511,450586491
1512,450600372
1513,450967625
1514,450982000
1515,451342499
1516,451347187
1517,451682512
1518,452089552
1519,452130104
1520,453645545
1521,453659796
1522,455192456
1523,455198779
1524,455531063
1525,456618982
1526,456975211
1527,456981214
1528,456983783
1529,458513244
1530,459983631
1531,459989964
1532,460360535
1533,460399325
1534,460400449
1535,460574989
1536,460578877
1537,460913156
1538,460951313
1539,460957526
1540,460959599
1541,460964003
1542,460968941
1543,462489252
1544,462906276
1545,463365675
1546,463475234
1547,463478257
1548,464826062
1549,464832404
1550,464869975
1551,464874872
1552,464932103
1553,464974076
1554,465002306
1555,465035749
1556,466406290
1557,466409959
1558,466414694
1559,466452227
1560,466452337
1561,466454344
1562,466456989
1563,466693737
1564,466751746
1565,466792090
1566,468305739
1567,468688650
1568,469026473
1569,470152434
1570,470200187
1571,470576560
1572,470602254
1573,470607835
1574,470662699
1575,471197100
1576,471200763
1577,471204042
1578,471253837
1579,471296748
1580,471297682
1581,471310984
1582,471316592
1583,471722132
1584,471722242
1585,471728786
1586,473422630
1587,473429360
1588,473436632
1589,473801011
1590,473805699
1591,474141036
1592,474175520
1593,474176623
1594,474185207
1595,474593088
1596,474600475
1597,474607138
1598,474609108
1599,474623209
1600,475171463
1601,475505742
1602,475510430
1603,475516381
1604,475553012
1605,475563042
1606,475896645
1607,477312844
1608,477318573
1609,477673563
1610,479435481
1611,479451408
1612,479836284
1613,481599910
1614,481935565
1615,481941493
1616,481986418
1617,481987321
1618,481991146
1619,481995651
1620,482039568
1621,482084358
1622,482123505
1623,482529913
1624,482893914
1625,482905421
1626,482923089
1627,482926661
1628,482929804
1629,483169166
1630,484695173
1631,484718481
1632,484719615
1633,484723964
1634,486224116
1635,486227422
1636,487404850
1637,487444108
1638,487478251
1639,487482344
1640,487905599
1641,488349575
1642,488392473
1643,488412431
1644,488416361
1645,489935657
1646,491718553
1647,492086076
1648,492140141
1649,492140251
1650,492144580
1651,492145372
1652,492150107
1653,492585171
1654,492617361
1655,492621024
1656,492998742
1657,493368942
1658,493701684
1659,494715320
1660,495089043
1661,496203414
1662,496204376
1663,496243776
1664,496245755
1665,496249662
1666,496533558
1667,497982202
1668,498232836
1669,498525600
1670,498532987
1671,498576809
1672,498602345
1673,498608616
1674,498624284
1675,498630435
1676,498643322
1677,498685898
1678,498687301
1679,499632146
1680,501084387
1681,501088688
1682,501125028
1683,501190708
1684,501195696
1685,501567480
1686,501933812
1687,501938084
1688,501952459
1689,502280025
1690,502320346
1691,502361941
1692,502366420
1693,502476116
1694,502479055
1695,502482217
1696,502843506
1697,502846646
1698,502883543
1699,503027520
1700,503405941
1701,503774972
1702,503964230
1703,504345645
1704,504346797
1705,504389268
1706,504591067
1707,505004783
1708,505044641
1709,505360606
1710,505536564
1711,506961443
1712,507013718
1713,507019427
1714,507025068
1715,507373480
1716,508910231
1717,510405626
1718,510483426
1719,510487249
1720,510530404
1721,512048815
1722,513519705
1723,513884772
1724,514217140
1725,514220645
1726,514225013
1727,514251064
1728,514253942
1729,514260096
1730,514265156
1731,514270086
1732,514311892
1733,514644507
1734,515039974
1735,515086172
1736,515091780
1737,515094543
1738,516629494
1739,517902592
1740,517909007
1741,518253327
1742,518259660
1743,519630484
1744,520002567
1745,520006834
1746,521743173
1747,521760406
1748,521766821
1749,521770644
1750,521777259
1751,523360250
1752,523363561
1753,523365208
1754,523404562
1755,523806532
1756,523807735
1757,523851158
1758,524342714
1759,524382723
1760,524752868
1761,524758553
1762,526291909
1763,526348319
1764,526393955
1765,526415995
1766,526800499
1767,526828103
1768,527220710
1769,527226706
1770,527558849
1771,527855058
1772,529343147
1773,529727042
1774,531286456
1775,531292221
1776,531298149
1777,531305882
1778,532840089
1779,532852840
1780,532857452
1781,533292683
1782,533393086
1783,533838985
1784,535431172
1785,535491045
1786,535856150
1787,535868478
1788,535877084
1789,537450913
1790,537454489
1791,537879790
1792,537935002
1793,537972681
1794,538148259
1795,539692830
1796,539697928
1797,539701234
1798,539707790
1799,540040034
1800,540041462
1801,540422916
1802,541777791
1803,541817513
1804,542175251
1805,542176549
1806,542183154
1807,542185484
1808,542189213
1809,542559196
1810,542959848
1811,542972599
1812,542987022
1813,543084360
1814,543322796
1815,543327681
1816,543353522
1817,543459962
1818,543815034
1819,543838233
1820,543960617
1821,544002835
1822,544003572
1823,544041280
1824,544570883
1825,544905523
1826,544930493
1827,545262677
1828,546272392
1829,546278853
1830,546612590
1831,546994456
1832,547050761
1833,547572944
1834,547939770
1835,547944302
1836,549459831
1837,551020563
1838,551027434
1839,551031854
1840,552288934
1841,552289856
1842,552304735
1843,552320309
1844,552324702
1845,552325574
1846,552347469
1847,552387549
1848,552764502
1849,552769524
1850,552774596
1851,553866874
1852,555392032
1853,556918917
1854,557307586
1855,557313600
1856,558855323
1857,560369216
1858,560377800
1859,560715923
1860,560720054
1861,560724939
1862,562214007
1863,562549500
1864,564082043
1865,564086121
1866,564456512
1867,564461158
1868,564467506
1869,565974015
1870,566085325
1871,566117680
1872,567546222
1873,567551443
1874,567883344
1875,567884212
1876,567890149
1877,567895598
1878,567926106
1879,568017426
1880,568017536
1881,568395197
1882,568539149
1883,568543586
1884,568550973
1885,568556784
1886,568937377
1887,569437504
1888,569803134
1889,570944403
1890,570971200
1891,571144559
1892,571508279
1893,571512690
1894,571798267
1895,571852751
1896,571854353
1897,571859185
1898,572280303
1899,572656225
1900,573448385
1901,573817127
1902,574197523
1903,574197633
1904,574561140
1905,574809862
1906,575144195
1907,575494369
1908,575500623
1909,575505912
1910,575526836
1911,575550718
1912,575629005
1913,576605718
1914,576663011
1915,576667701
1916,576668075
1917,576763584
1918,576775091
1919,577044880
1920,577466558
1921,577479168
1922,577516412
1923,577893690
1924,577900327
1925,578130331
1926,578403260
1927,578407603
1928,578411510
1929,580165630
1930,580167854
1931,580541194
1932,580544766
1933,582332031
1934,582678841
1935,582685529
1936,582729119
1937,582744845
1938,582834733
1939,583178028
1940,583553465
1941,585058459
1942,585079925
1943,585358224
1944,585364242
1945,585368888
1946,585385164
1947,585386072
1948,585398634
1949,585437452
1950,585443023
1951,585828653
1952,586052025
1953,586434565
1954,586438495
1955,586443230
1956,586447802
1957,586478004
1958,586626723
1959,586629727
1960,586662184
1961,587074769
1962,587335719
1963,587344845
1964,587389201
1965,587393733
1966,587770217
1967,587774454
1968,588080225
1969,588161266
1970,588226690
1971,588402640
1972,588784828
1973,588833334
1974,588839509
1975,588844039
1976,589170618
1977,589219407
1978,589598733
1979,589984985
1980,590028383
1981,590032794
1982,590074777
1983,590087505
1984,590465277
1985,590475994
1986,590517606
1987,591710489
1988,591949564
1989,591955806
1990,593084883
1991,593085827
1992,594580537
1993,594587164
1994,594810053
1995,594815661
1996,594822288
1997,594828485
1998,596267338
1999,596312761
2000,596317449
2001,596320567
2002,596363144
2003,596407576
2004,596787568
2005,597121582
2006,597517075
2007,597538271
2008,597542254
2009,597567712
2010,597605534
2011,597611039
2012,598795286
2013,598801528
2014,599244888
2015,599246466
2016,599415931
2017,599422273
2018,599423245
2019,599429660
2020,599469910
2021,599473893
2022,599481257
2023,599522100
2024,599524331
2025,600997802
2026,601011655
2027,601055210
2028,601060902
2029,601151524
2030,601158395
2031,601208383
2032,601213447
2033,601232341
2034,601657846
2035,603209481
2036,603213053
2037,603219013
2038,604747844
2039,605082326
2040,606585146
2041,606986114
2042,607361266
2043,607366782
2044,607370088
2045,607743851
2046,608129692
2047,608168563
2048,609721360
2049,611306610
2050,611353436
2051,611380281
2052,611467990
2053,611578396
2054,611962753
2055,611968438
2056,611972516
2057,611974846
2058,611980861
2059,611985534
2060,612352537
2061,612736583
2062,612742832
2063,612747717
2064,612749660
2065,612753323
2066,613121236
2067,613546807
2068,613547729
2069,613553421
2070,613553531
2071,614944064
2072,614944978
2073,614989756
2074,614990241
2075,615026898
2076,615361903
2077,616377772
2078,616418928
2079,616754610
2080,616756670
2081,616767716
2082,616768916
2083,616784359
2084,616924965
2085,617010496
2086,617032949
2087,617074743
2088,617170577
2089,617176461
2090,617554588
2091,617561049
2092,617565579
2093,617903221
2094,617927830
2095,618068910
2096,618071654
2097,618073582
2098,618114057
2099,618116556
2100,618118393
2101,618256911
2102,618262596
2103,618267481
2104,618280808
2105,618292131
2106,618335863
2107,618341881
2108,618467040
2109,619911512
2110,619917519
2111,619919887
2112,620984294
2113,620986803
2114,621006520
2115,621010787
2116,621038766
2117,622573637
2118,622625170
2119,622668361
2120,624068376
2121,624072948
2122,624109056
2123,625449067
2124,625450075
2125,625455199
2126,625460340
2127,625860376
2128,627027302
2129,627402973
2130,628825958
2131,628839831
2132,628894482
2133,629226300
2134,629232039
2135,629741513
2136,630086485
2137,630129109
2138,630152912
